session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Nationality,Sex,Student Status
5ef46f077c0ee2029be0fdbb,56ce42d9465e580006846f57,APPROVED,2020-06-25 09:31:57.957000,2020-06-25 10:29:01.489000,3423.532,52,1922,19,99,2020-06-26 08:37:10.370000,6668AF37,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,English,United Kingdom,Male,No
5f1edc78fccd2102cfb96bcb,5c555762dab99000015b8f12,APPROVED,2020-07-27 13:54:10.766000,2020-07-27 14:55:41.209000,3690.443,26,508,1,100,2020-07-29 07:45:05.340000,6668AF37,United States,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Unemployed (and job seeking),English,United States,Female,No
5f1edc7958ca4302fbb5e6d0,5eb14721851de422a444eb82,APPROVED,2020-07-27 13:54:32.396000,2020-07-27 14:50:33.652000,3361.256,25,101,2,99,2020-07-29 07:45:07.459000,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,English,United Kingdom,Female,No
5f1edc7a227643025bd07185,5e56d032ad276108e83b9f94,APPROVED,2020-07-27 13:54:23.777000,2020-07-27 14:58:10.352000,3826.575,20,108,1,100,2020-07-29 07:45:09.058000,6668AF37,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Unemployed (and job seeking),English,United Kingdom,Female,Yes
5f1edf797c69bf03993e70c6,5ece79f8b7ffe109bd488629,APPROVED,2020-07-27 14:15:50.364000,2020-07-27 16:00:15.433000,6265.069,18,56,0,100,2020-07-29 07:45:11.018000,6668AF37,South Africa,United Kingdom,Scotland,Part-Time,English,United Kingdom,Female,Yes
5f1edf7cf2137102cc88b241,5ecfb797dc64e1028cc510ba,APPROVED,2020-07-27 14:06:52.639000,2020-07-27 15:05:46.463000,3533.824,23,57,1,100,2020-07-29 07:45:13,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Unemployed (and job seeking),English,United Kingdom,Female,No
5f1edf7db22b9903098ca134,5bd2ddf325b7190001553305,APPROVED,2020-07-27 14:06:53.371000,2020-07-27 15:43:32.104000,5798.733,31,558,15,96,2020-07-29 07:45:15.105000,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,English,United Kingdom,Female,No
5f1edf7fa0e03a037347e3fa,5b2b83b10ec82d0001d29549,APPROVED,2020-07-27 14:06:57.867000,2020-07-27 15:35:10.085000,5292.218,,496,3,100,2020-07-29 07:45:17.180000,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,English,United Kingdom,Female,No
5f1ee1136ecfbc01e64afa7c,5ec2d656c999700e29f63932,APPROVED,2020-07-27 14:13:39.590000,2020-07-27 15:58:30.701000,6291.111,30,66,0,100,2020-07-29 07:45:19.218000,6668AF37,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Unemployed (and job seeking),English,United Kingdom,Female,No
5f1ee11423cea403867d9f5d,5e4e7d733af5db000a6a41a8,APPROVED,2020-07-27 14:13:40.141000,2020-07-27 15:15:48.090000,3727.949,42,119,1,100,2020-07-29 07:45:21.315000,6668AF37,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Full-Time,English,United Kingdom,Male,No
5f1ee115cfc24001ef95a28f,5edf66ed1a0915219e55d5ca,APPROVED,2020-07-27 14:13:47.488000,2020-07-27 15:18:32.615000,3885.127,31,33,0,100,2020-07-29 07:45:24.951000,6668AF37,United Kingdom,United Kingdom,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Unemployed (and job seeking),English,United Kingdom,Male,No
5f1ee115bcdc2b01d3a7168d,5eaaaaf36528b1000b04680f,APPROVED,2020-07-27 14:15:04.850000,2020-07-27 15:15:40.708000,3635.858,33,89,0,100,2020-07-29 07:45:23.165000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,United Kingdom,Female,No
5f1ee15aae79740498b3d366,59d395800118340001369be1,APPROVED,2020-07-27 14:14:50.337000,2020-07-27 15:15:28.251000,3637.914,29,174,3,99,2020-07-29 07:45:26.771000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,United Kingdom,Male,No
5f1ee287443fd904274eabf0,5e788a0aecd8c5000980308e,APPROVED,2020-07-27 14:20:59.693000,2020-07-27 15:32:59.748000,4320.055,19,92,1,100,2020-07-29 07:45:28.978000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Unemployed (and job seeking),English,United Kingdom,Female,Yes
